claim_text,Ineligibility
"A computer program product in a non-transitory computer readable media for use in a data processing system for monitoring service tickets for information technology service providers to ensure that levels of service required to be provided to a customer pursuant to a contractual agreement between the customer and a service provider, are met, the computer program product comprising: first instructions for inspecting a service ticket in a database to determine a deadline for when a problem associated with the service ticket must be resolved, with the deadline based upon a contractually determined severity of the problem and a corresponding contractually required time for resolution of the problem; display instructions for displaying, on a display device at the help desk, a graphical display populated with representations of service tickets that have reached a predetermined percentage of the time before their due date; second instructions for determining an deadline approaching alert time at which a help desk user must be notified that the deadline for resolving the problem must be met; and third instructions for alerting the help desk user that the deadline for resolving the problem is approaching when the deadline approaching alert time is reached.",0
"A computer program product, tangibly embodied on computer-readable media, comprising instructions operable to cause a data processing apparatus to: receive a search query; poll a plurality of gateways to identify registers encapsulated therein, the gateways having a plurality of containers coupled thereto, the identified registers relating to identified containers logically defining data contained therein associated with the search query, the identified containers having container registers defined therein, the container registers containing data comprising historical data associated with interactions of the identified containers with other containers from the plurality of containers, wherein polling the plurality of gateways comprises searching the historical data; encapsulate the identified containers in a new container; update container registers of the identified containers with data associated with interactions of the identified containers with the new container; and provide a list characterizing the identified containers.",0
"A computer program product, tangibly embodied on computer-readable media, comprising instructions operable to cause a data processing apparatus to: receive a search query; search content and first container registers encapsulated and logically defined in a plurality of containers to identify identified containers associated with the search query, the first container registers having defined therein data comprising historical data associated with interactions of the identified containers with other containers from the plurality of containers, wherein searching the first container registers comprises searching the historical data; encapsulate the identified containers in a new container; update second container registers of the identified containers with data associated with interactions of the identified containers with the new container; and provide a list characterizing the identified containers.",0
"A computer readable medium containing a program adapted to implement the method of: associating a media object with a media object identifier, the media object identifier being embedded within a third-party web site, the media object identifier including a graphical user interface for acquiring media objects; and pre-processing the media object by the media object identifier for the requirements of the third-party web site, the pre-processing being done without user selection of the pre-processing.",1
"A computer readable medium encoded with a computer program fixed in a non-transitory computer storage medium having computer-executable instructions for causing a computing system to perform operations of optimizing online references to an entity, the operations comprising: searching at least two channels on a network for references to the entity and other entities using a plurality of search terms to generate search results, the at least two channels being selected from a group including blogs, social media, video sharing, mobile content, and search engines; scoring the references associated with each of the plurality of search terms to generate scores for the references within the search results with respect to the entity and the other entities, the score for each of the references within the search results with respect to the entity being based on at least a position of each of the references to the entity within the search results and the score for each of the references within the search results with respect to the other entities based on at least a position of each of the references to the other entities within the search results; determining shares of voice for the entity and the other entities across each of the at least two channels with respect to the plurality of search terms; correlating shares of voice for the entity and the other entities with respect to the search terms to determine a relative change in share of voice for the entity with respect to the other entities based on the scores for the references; and correlating shares of voice for the entity across the plurality of channels with respect to the search terms to determine relative changes in share of voice for the entity within each of the channels based on the scores for the references.",0
"A computer readable medium having computer-readable instructions thereon, which when executed by a computer, cause the computer to perform a method comprising: receiving market information relating to a commodity from an electronic exchange via a computing device, the market information comprising an inside market with a current highest bid price and a current lowest ask price for the commodity; displaying a first plurality of price levels along a static price axis on a graphical user interface of an output device associated with the computing device, where the first plurality of price levels range from a lowest value to a highest value along the static price axis; in response to an input command received via an input device associated with the computing device, adjusting the first plurality price levels among a range of price levels to an adjusted plurality of price levels; displaying a bid and ask display region on the graphical user interface, the bid and ask display region comprising a plurality of locations corresponding to the first plurality of price levels displayed along the static price axis, wherein each location corresponds to one of the first plurality of price levels, and wherein a number of the plurality of locations changes according to adjusting the first plurality of price levels; displaying a first indicator representing quantity associated with the current highest bid price at a first location in the plurality of locations of the bid and ask display region, wherein the first indicator ascends or descends the static price axis as changes in the current highest bid price occur as a result of each of the plurality of price levels along the static price axis not changing positions on the graphical user interface unless a reposition command is received; displaying a second indicator representing quantity associated with the current lowest ask price at a second location in the plurality of locations of the bid and ask display region, wherein the second indicator ascends or descends the static price axis as changes in the current lowest ask price occur as a result of each of the plurality of price levels along the static price axis not changing positions on the graphical user interface unless the reposition command is received; receiving the reposition command to reposition the static price axis when a designated price is within a designated number of price levels from the lowest value or the highest value along the static price axis; and responsive to receiving the reposition command, automatically repositioning the static price axis on the graphical user interface such that a current inside market price is displayed at a new desired location.",1
"A computer readable medium having program code recorded thereon for execution on a computer for displaying transactional information to a user regarding the buying and selling of items in a system where orders comprise a bid type or an offer type, and an order is generated for a quantity of an item at a specific value, comprising: a first program code for displaying a plurality of bid indicators, each corresponding to at least one bid for a quantity of the item, each bid indicator at a location along a first scaled axis of prices corresponding to a price associated with the at least one bid; a second program code for displaying a plurality of offer indicators, each corresponding to at least one offer for a quantity of the item, each offer indicator at a location along the first scaled axis of prices corresponding to a price associated with the at least one offer; a third program code for receiving market information representing a new order to buy a quantity of the item for a specified price, and in response to the received market information, generating a bid indicator that corresponds to the quantity of the item bid for and placing the bid indicator along the first scaled axis of prices corresponding to the specified price of the bid; a fourth program code for receiving market information representing a new order to sell a quantity of the item for a specified price, and in response to the received market information, generating an offer indicator that corresponds to the quantity of the item for which the offer is made and placing the offer indicator along the first scaled axis of prices corresponding to the specified price of the offer; a fifth program code for displaying an order icon associated with an order by the user for a particular quantity of the item; a sixth program code for selecting the order icon and moving the order icon with a pointer of a user input device to a location associated with a price along the first scaled axis of prices; and a seventh program code for sending an order associated with the order icon to an electronic trading exchange, wherein the order is of a bid type or an offer type and the order has a plurality of order parameters comprising the particular quantity of the item and the price corresponding to the location at which the order icon was moved.",1
"A computer readable medium having program code recorded thereon for execution on a computer having a graphical user interface and a user input device, the program code causing a machine to perform the following method steps: receiving market information for a commodity from an electronic exchange, the market information comprising an inside market with a current highest bid price and a current lowest ask price; receiving an input from a user that designates a default quantity to be used for a plurality of trade orders; dynamically displaying a first indicator in one of a plurality of locations in a bid display region, each location in the bid display region corresponding to a price level along a static price axis, the first indicator representing quantity associated with at least one order to buy the commodity at the current highest bid price; dynamically displaying a second indicator in one of a plurality of locations in an ask display region, each location in the ask display region corresponding to a price level along the static price axis, the second indicator representing quantity associated with at least one order to sell the commodity at the current lowest ask price; displaying the bid and ask display regions in relation to a plurality of price levels arranged along the static price axis such that when the inside market changes, the price levels along the static price axis do not change positions and at least one of the first and second indicators moves in the bid or ask display regions relative to the static price axis; displaying an order entry region aligned with the static price axis comprising a plurality of areas for receiving commands from the user input device to send trade orders, each area corresponding to a price level of the static price axis; and receiving a plurality of commands from a user, each command sending a trade order to the electronic exchange, each trade order having an order quantity based on the default quantity without the user designating the default quantity between commands, wherein each command results from selecting a particular area in the order entry region corresponding to a desired price level as part of a single action of the user input device with a pointer of the user input device positioned over the particular area to both set an order price parameter for the trade order based on the desired price level and send the trade order to the electronic exchange.",1
"A computer readable medium having program code recorded thereon for execution on a computer, the program code causing a machine to perform the method comprising: receiving a current highest bid price and a current lowest ask price for a tradeable object from an electronic exchange; identifying a long or short position taken by a user with respect to the tradeable object, wherein the long position is associated with a quantity of the tradeable object that has been bought by the user at a price, and wherein the short position is associated with a quantity of the tradeable object that has been sold by the user at a price; computing a plurality of values based on the long or short position, wherein each of the plurality of values represents a profit or loss if the long or short position is closed at a price level among a range of price levels for the tradeable object; displaying via a computing device the plurality of values along a value axis; displaying via the computing device a first indicator at a first location corresponding to a first value along the value axis, wherein the first indicator represents a particular price based on any of the following prices: current best bid, current best ask, and a last traded price, and wherein the first value represents a profit or loss incurred by the user if the long or short position is closed at the particular price; and moving the first indicator relative to the value axis to a second location corresponding to a second value along the value axis responsive to receipt of an update to the price, wherein the second value represents a profit or loss incurred by the user if the position is closed at the update to the particular price.",1
"A computer readable medium having stored therein instructions for execution by a computer to perform the following method steps: receiving, by a computing device, market information for a commodity from an electronic exchange, the market information comprising an inside market with a current highest bid price and a current lowest ask price; displaying, via the computing device, a bid display region comprising a plurality of graphical locations, each graphical location in the bid display region corresponding to a different price level of a plurality of price levels along a price axis; displaying, via the computing device, an ask display region comprising a plurality of graphical locations, each graphical location in the ask display region corresponding to a different price level of the plurality of price levels along the price axis; dynamically displaying, via the computing device, a first indicator representing quantity associated with at least one trade order to buy the commodity at the current highest bid price in a first graphical location of the plurality of graphical locations in the bid display region, the first graphical location in the bid display region corresponding to a price level associated with the current highest bid price; upon receipt of market information comprising a new highest bid price, moving the first indicator relative to the price axis to a second graphical location of the plurality of graphical locations in the bid display region, the second graphical location corresponding to a price level of the plurality of price levels associated with the new highest bid price, wherein the second graphical location is different from the first graphical location in the bid display region; dynamically displaying, via the computing device, a second indicator representing quantity associated with at least one trade order to sell the commodity at the current lowest ask price in a first graphical location of the plurality of graphical locations in the ask display region, the first graphical location in the ask display region corresponding to a price level associated with the current lowest ask price; upon receipt of market information comprising a new lowest ask price, moving the second indicator relative to the price axis to a second graphical location of the plurality of graphical locations in the ask display region, the second graphical location corresponding to a price level of the plurality of price levels associated with the new lowest ask price, wherein the second graphical location is different from the first graphical location in the ask display region; displaying, via the computing device, an order entry region comprising a plurality of graphical areas for receiving single action commands to set trade order prices and send trade orders, each graphical area corresponding to a different price level along the price axis; and selecting a particular graphical area in the order entry region through a single action of the user input device to both set a price for the trade order and send the trade order having a default quantity to the electronic exchange.",1
"A computer readable medium having stored therein instructions to execute a method for facilitating trade order entry, the method comprising: receiving, by a computing device, market data for a commodity, the market data comprising a current highest bid price and a current lowest ask price available for the commodity; identifying, by the computing device, a plurality of sequential price levels for the commodity based on the market data, where the plurality of sequential price levels includes the current highest bid price and the current lowest ask price; displaying, by the computing device, a plurality of graphical locations aligned along an axis, where each graphical location is configured to be selected by a single action of a user input device to send a trade order to the electronic exchange, where a price of the trade order is based on the selected graphical location; mapping, by the computing device, the plurality of sequential price levels to the plurality of graphical locations, where each graphical location corresponds to one of the plurality of sequential price levels, where each price level corresponds to at least one of the plurality of graphical locations, and where mapping of the plurality of sequential price levels does not change at a time when at least one of the current highest bid price and the current lowest ask price changes; and setting a price and sending the trade order to the electronic exchange in response to receiving by the computing device commands based on user actions consisting of:  placing a cursor associated with the user input device over a desired graphical location of the plurality of graphical locations and  selecting the desired graphical location through a single action of the user input device.",1
"A computer readable medium, for an electronic exchange in which a good is bought and sold responsive to orders submitted by traders, each order specifying a value and quantity for the order, the computer readable medium containing a program containing instructions to cause a processor to perform the following steps: displaying a chart on a graphical user interface comprising a vertical axis of price values and a horizontal axis of time; displaying indicators representing historical trading data for the good at locations along the vertical axis of price values and the horizontal axis of time; providing a plurality of locations on the graphical user interface to place an order icon with a pointer of a user input device, each location corresponding to a particular price value along the vertical axis of price values; placing an order icon for a particular quantity of the good at a specific location of the plurality of locations along the vertical axis of price values with a pointer of an input device, wherein the specific location on which the order icon is placed corresponds to a particular price value; generating an order to buy or sell the particular quantity of the good at the particular price value responsive to placing the order icon at the specific location; and sending the order to an electronic trading system, wherein the order is for the particular quantity of the good and at the particular price value determined based on the location where the order icon was placed.",1
"A computer system for a user comprising: an imaging sensor configured to produce data regarding volitional behaviors of the user at different times; computer memory having materials for the user; and a controller associated with the computer memory, the controller configured to communicate with the imaging sensor and analyze the data to have materials retrieved for the user, based upon changes in the volitional behaviors, wherein the imaging sensor is configured to be detached from an area of the user to sense at least the area for producing the data, and wherein the controller is further configured to use a rule regarding a speed of the user to analyze the volitional behaviors of the user to help determine what to present to the user.",0
"A computer system for conducting a reverse auction of units, the system comprising: a processor; a memory connected to the processor including an allocation database, wherein the allocation database contains a preliminary available quantity indicative of the number of units provided in an auction; an auction database; a call database; a telephony system, wherein the telephony system is configured to record the time at which a call is received and a number which was dialed in a call record in the call database, and configured to place each caller into a queue assigning them to a call operator or system in order to sell a unit; and a display; wherein the processor is configured to display a price on the display and to reduce the displayed price over time and to reduce the preliminary available quantity, to determine when the preliminary available quantity is reduced to a pre-determined number, to store the displayed price at that time in the auction database, and to prevent new telephone calls to the telephony system being entered into the auction; and wherein the system reduces the preliminary available quantity based at least partly on one or more preliminary indicators associated with, the caller, wherein the reducing of the preliminary available quantity occurs before a sale of the unit is completed.",1
"A computer system for providing data to a data requester, the system comprising: a communication interface; a data access data store for storing records of data items available from the system, each record comprising a data item description and location data identifying an electronic address for a provider for the data item; a program store storing code implementable by a processor; a processor coupled to the communications interface, to the data access data store, and to the program store for implementing the stored code, the code comprising: code to receive a request for a data item from the requester:, code to receive from the communications interface payment data comprising data relating to payment for the requested data item; code responsive to the request and to the received payment data to output the item data to the requester over the communication interface; wherein said data access data store further comprises data item access rule data for output to the requester with a said data item; and further comprising code to select access rule data for output with a data item in response to said payment data.",1
"A computer system for providing multimedia data items to a handheld multimedia terminal, the system comprising: a communications interface; a data store for storing records of multimedia data items available from the system, each record comprising a data item description and a pointer to a data provider for the data item; a program store storing code implementable by a processor; a processor coupled to the communications interface, to the data store, and to the program store for implementing the stored code, the code comprising: code to receive a request for a multimedia data item from the handheld multimedia terminal; code to receive from the communications interface payment validation data comprising data confirming payment for the requested multimedia data item; code responsive to the request and to the received payment validation data, to read the requested multimedia data item from a content provider; and code to transmit the read multimedia data item to the handheld multimedia terminal over the communications interface.",1
"A computer system, comprising: a database storing a plurality of data portions, each data portion associated with a data category; a data protection table comprising, for at least one data category, one or more data processing rules associated with the data category that must each be satisfied before a data portion associated with the data category can be accessed; and a processor configured to: in response to a request to access a data portion associated with a first data category from a user, determine whether each of the one or more data processing rules associated with the requested data portion are satisfied; and grant access to the requested data portion responsive to each of the retrieved one or more data processing rules being satisfied.",1
"A computer-implemented data processing method comprising: maintaining a database comprising a plurality of data portions, each data portion associated with a data category; maintaining a separate data protection table comprising, for at least one data category, one or more data processing rules associated with the data category that must each be satisfied before a data portion associated with the data category can be accessed; receiving a request to access a data portion associated with a first data category from a user; determining whether each of the one or more data processing rules associated with the requested data portion are satisfied; and granting the user access to the requested data portion responsive to each of the retrieved one or more data processing rules being satisfied.",1
"A computer-implemented method comprising: receiving a search query; polling, using the computer, a plurality of gateways to identify registers encapsulated therein, the gateways having a plurality of containers coupled thereto, the identified registers relating to identified containers logically defining data contained therein associated with the search query, the identified containers having container registers defined therein, the container registers containing data comprising historical data associated with interactions of the identified containers with other containers from the plurality of containers, wherein polling the plurality of gateways comprises searching the historical data; encapsulating the identified containers in a new container; updating the container registers of the identified containers with data associated with interactions of the identified containers with the new container; and providing a list characterizing the identified containers.",0
"A computer-implemented method comprising: receiving a search query; searching, using the computer, first container registers encapsulated and logically defined in a plurality of containers to identify identified containers responsive to the search query, the container registers having defined therein data comprising historical data associated with interactions of the identified containers with other containers from the plurality of containers, wherein searching the first container registers comprises searching the historical data; encapsulating the identified containers in a new container; updating second container registers of the identified containers with data associated with interactions of the identified containers with the new container; and providing a list characterizing the identified containers.",0
"A computer-implemented method comprising: receiving a search query; Searching, using the computer, first container registers encapsulated and logically defined in a plurality of containers to identify search query templates encapsulated in identified containers, the first container registers having defined therein data comprising historical data associated with interactions of the identified containers with other containers from the plurality of containers, wherein searching container registers comprises searching the historical data; encapsulating the identified containers in a new container; updating second container registers of the identified containers with data associated with interactions of the identified containers with the new container; and providing a list characterizing the identified one or more search query templates to formulate subsequent search queries.",0
"A computer-implemented method comprising: receiving, by a search system, from a user a search query comprising keywords; using at least one association graph comprising keywords, identifying, by the search system, one or more suggested replacement keywords for one or more of the keywords of the search query; presenting the suggested replacement keywords to the user; responsively to a selection of one of the suggested replacement keywords by the user, substituting, by the search system, the selected suggested replacement keyword for the corresponding one of the keywords of the search query, to generate a refined search query; and presenting search results to the user responsively to the refined search query, wherein identifying the one or more suggested replacement keywords comprises: designating, by the search system, one or more of the keywords of the search query as anchor keywords, and the remaining keywords of the search query as non-anchor keywords; and identifying, by the search system, the one or more suggested replacement keywords for one or more of the non-anchor keywords and not for any of the anchor keywords.",0
"A computer-implemented method of managing access to at least one tourist attraction, the method comprising: associating a user code with a product, the product associated with the at least one tourist attraction; receiving the user code at a reward terminal, the reward terminal being located in proximity to the at least one tourist attraction and being configured to access a reward associated with the at least one tourist attraction using the user code, whereby a change in the product changes the rewards accessible via the reward terminal using the at least one user code; recording, by the reward terminal, the use of the user code to access the reward associated with the at least one tourist attraction; and transmitting the use of the user code to a controller for calculation of an aggregated compensation for the at least one tourist attraction based on the use of the reward terminals to access the at least one tourist attraction by a plurality of users, wherein the controller does not compensate the attractions based on the actual use of the reward terminals at a time of the actual use of the reward terminals via a card.",1
"A computer-implemented method of providing client-accessed real estate information to a real estate professional associated with a first client and a second client, and for providing professional-accessed real estate information to the first client and the second client, the method comprising: connecting to a database of real estate information; providing the professional with access to the real estate information; storing a first account for the first client and a second account for the second client, the first account and the second account being authorized by the professional; providing the first client with access to the first account and providing the second client with access to the second account; providing the first client, when accessing the first account, with access to the real estate information; providing the second client, when accessing the second account, with access to the real estate information; monitoring actions of the professional while the professional is accessing the real estate information; monitoring actions of the first client while the first client is accessing the first account; monitoring actions of the second client while the second client is accessing the second account; generating and storing professional-accessed real estate information for the first client and the second client in response to the actions of the professional as the professional reviews the real estate information; generating and storing first client-accessed real estate information in response to the actions of the first client; generating and storing second client-accessed real estate information in response to the actions of the second client; providing at least some of the first client-accessed real estate information and at least some of the second client-accessed real estate information to the professional, thereby providing the professional with knowledge of the actions of the first client and the actions of the second client; and providing at least some of the professional-accessed real estate information for the first client to the first client and at least some of the professional-accessed real estate information for the second client to the second client, thereby providing the first client and the second client with knowledge of the actions of the real estate professional.",0
"A computer-implemented method to determine relative market value of a sale group, the computer implemented method comprising the steps of: generating a genetic merit interface to display at one or more electronic interfaces, the genetic merit interface allowing an input of a plurality of information associated with the sale group; determining, by one or more processors, relative market value and one or more rankings of genetic merits of the sale group responsive to receiving the plurality of information associated with the sale group from the genetic merit interfaces; and outputting to one or more electronic interfaces a genetic merit scorecard for the sale group responsive to determining the relative market value and one or more rankings of genetic merits of the sale group, the genetic merit scorecard including the relative market value and one or more rankings of genetic merits of the sale group.",1
"A computer-implemented method to determine relative market value of a sale group, the computer implemented method comprising the steps of: generating a genetic merit interface to display at one or more electronic interfaces, the genetic merit interface allowing an input of a plurality of genetic merit estimates associated with the sale group; determining, by one or more processors, relative market value and one or more rankings of genetic merits of the sale group responsive to the plurality of genetic merit estimates from the genetic merit interfaces; and outputting to one or more electronic interfaces a genetic merit scorecard for the sale group responsive to determining the relative market value and one or more rankings of genetic merits of the sale group, the genetic merit scorecard including the relative market value and one or more rankings of genetic merits of the sale group.",1
"A computer-implemented method to determine relative market value of a sale group, the computer implemented method comprising the steps of: generating a genetic merit interface to display at one or more electronic interfaces, the genetic merit interface allowing an input of a plurality of information associated with the sale group; determining, by one or more processors, a plurality of economic weighting factors responsive to the plurality of information associated with the sale group and one or more economic outcomes; determining, by one or more processors, relative market value and one or more rankings of genetic merits of the sale group responsive to the plurality of economic weighting factors and the plurality of information associated with the sale group from the genetic merit interfaces; and outputting to one or more electronic interfaces a genetic merit scorecard for the sale group responsive to determining the relative market value and one or more rankings of genetic merits of the sale group, the genetic merit scorecard including the relative market value and one or more rankings of genetic merits of the sale group.",1
"A computer-implemented method to determine relative market value of a sale group, the sale group including cattle that are fed and harvested for beef production, the method comprising: determining, by one or more processors, a plurality of economic weighting factors responsive to a plurality of genetic merit estimates associated with the sale group and one or more economic outcomes; determining, by one or more processors, relative market value and ranking of the genetic merits of the sale group responsive to the plurality of genetic merit estimates and the plurality of economic weighting factors; and outputting to one or more electronic interfaces, positioned to display an online genetic merit scorecard to thereby define one or more genetic merit interfaces, the online genetic merit scorecard for the sale group responsive to determining the relative market value and the ranking of the genetic merits of the sale group, the online genetic merit scorecard including the relative market value and one or more rankings of genetic merits of the sale group being displayed on the one or more genetic merit interfaces.",1
"A computer-implemented method, comprising: receiving, over a computer network, personal data entered by a borrower, said personal data comprising loan evaluation data; automatically generating or causing the generation of a credit grading for the borrower such that the credit grading is dependent upon the loan evaluation data entered by the borrower, said credit grading being distinct from a credit score obtained from a credit bureau, and being generated at least partly using underwriting criteria of one or more lenders; identifying a set of loan packages for which the borrower qualifies based on said credit grading, each loan package including home loan information provided by a lender, and including guaranteed closing cost information for closing services not provided by the lender, wherein the set of loan packages is identified without requiring the borrower to post a request to any lender; outputting information regarding the set of loan packages, including the guaranteed closing cost information for closing services not provided by the lender, to the borrower via a user interface that enables the borrower to at least compare total costs of the loan packages for which the borrower qualifies, said user interface additionally providing functionality for the user to select and apply for one of said loan packages; and in response to a request from the borrower in association with a selected loan package, communicating information of the borrower to a corresponding lender.",0
"A computer-implemented system for enabling borrowers to anonymously shop for loan packages offered by a plurality of lenders, the system comprising: a database that stores loan package data specifying loan packages for home loans offered by the lenders, the loan package data specifying, for each of the loan packages, at least a loan type, an interest rate, and a required borrower credit grading; and a computer system that provides: a first interface that allows the lenders to securely upload at least some of the loan package data for their respective loan packages to the database over a computer network; and a second interface that prompts a borrower to enter personal loan evaluation information, and invokes, on a computer, a borrower grading module which uses at least the entered personal loan evaluation information to calculate a credit grading for the borrower, said credit grading being distinct from a credit score of the borrower, and being based on underwriting criteria used by at least some of said lenders; wherein the second interface provides functionality for the borrower to search the database to identify a set of loan packages for which the borrower qualifies based on the credit grading, and to compare the loan packages within the set, including loan type and interest rate, while remaining anonymous to each of the lenders and without having to post a request to any of the lenders, said second interface configured to display to the borrower an indication of a total cost of each loan package in the set, said total cost including costs of closing services not provided by corresponding lenders; and wherein the computer-implemented system further enables the borrower to selectively expose at least the personal loan evaluation information to a lender corresponding to a selected loan package.",0
"A computer-readable medium for storing instructions which, when executed on a processor, perform a computer-implemented method of providing client-accessed real estate information to a real estate professional associated with a first client and a second client, and for providing professional-accessed real estate information to the first client and the second client, the method comprising: connecting to a database of real estate information; providing the professional with access to the real estate information; storing a first account for the first client and a second account for the second client, the first account and the second account being authorized by the professional; providing the first client with access to the first account and providing the second client with access to the second account; providing the first client, when accessing the first account, with access to the real estate information; providing the second client, when accessing the second account, with access to the real estate information; monitoring actions of the professional while the professional is accessing the real estate information; monitoring actions of the first client while the first client is accessing the first account; monitoring actions of the second client while the second client is accessing the second account; generating and storing professional-accessed real estate information for the first client and the second client in response to the actions of the professional as the professional reviews the real estate information; generating and storing first client-accessed real estate information in response to the actions of the first client; generating and storing second client-accessed real estate information in response to the actions of the second client; providing at least some of the first client-accessed real estate information and at least some of the second client-accessed real estate information to the professional, thereby providing the professional with knowledge of the actions of the first client and the actions of the second client; and providing at least some of the professional-accessed real estate information for the first client to the first client and at least some of the professional-accessed real estate information for the second client to the second client, thereby providing the first client and the second client with knowledge of the actions of the real estate professional.",0
"A computer-readable medium having a computer program stored thereon, the computer program comprising computer-executable instructions for performing a computer-executed method for protecting information provided to an agent via a communication network, said method comprising: receiving an interactive communication responsive to an agent request via a communication network, the communication including information that is to be protected; electronically identifying the information that is to be protected from the communication; recording at least a portion of the communication; and preventing unauthorized access to the information such that, if it is determined that the information that is to be protected has been recorded, at least a portion of the information is rendered unintelligible to a user unless that user possesses an authorization to access the information.",1
